cancer,model,paper_cindex
# Transcribe the C-index values from Table 1 of Kim et al. (2020) into the
# paper_cindex column, then delete these comment lines. Rows left blank are
# skipped by the comparison, so it is fine to fill in only part of the table.
# Model names must match ours exactly: CoxLasso, CoxRidge, Coxnnet, CoxMLP, VAECox.
BLCA,CoxLasso,
BLCA,CoxRidge,
BLCA,Coxnnet,
BLCA,VAECox,
BRCA,CoxLasso,
BRCA,CoxRidge,
BRCA,Coxnnet,
BRCA,VAECox,
HNSC,CoxLasso,
HNSC,CoxRidge,
HNSC,Coxnnet,
HNSC,VAECox,
KIRC,CoxLasso,
KIRC,CoxRidge,
KIRC,Coxnnet,
KIRC,VAECox,
LGG,CoxLasso,
LGG,CoxRidge,
LGG,Coxnnet,
LGG,VAECox,
LIHC,CoxLasso,
LIHC,CoxRidge,
LIHC,Coxnnet,
LIHC,VAECox,
LUAD,CoxLasso,
LUAD,CoxRidge,
LUAD,Coxnnet,
LUAD,VAECox,
LUSC,CoxLasso,
LUSC,CoxRidge,
LUSC,Coxnnet,
LUSC,VAECox,
OV,CoxLasso,
OV,CoxRidge,
OV,Coxnnet,
OV,VAECox,
STAD,CoxLasso,
STAD,CoxRidge,
STAD,Coxnnet,
STAD,VAECox,
