cancer,model,mean_cindex,std_cindex,n_valid
BLCA,CoxLasso,0.6276,0.0415,10
BLCA,CoxRidge,0.6297,0.0432,10
BLCA,Coxnnet,0.6496,0.0504,10
BLCA,CoxMLP,0.6508,0.0443,10
BLCA,VAECox,0.6547,0.0451,10
BRCA,CoxLasso,0.6998,0.048,10
BRCA,CoxRidge,0.6894,0.0508,10
BRCA,Coxnnet,0.7143,0.0391,10
BRCA,CoxMLP,0.6789,0.0624,10
BRCA,VAECox,0.6932,0.0565,10
HNSC,CoxLasso,0.639,0.019,10
HNSC,CoxRidge,0.6228,0.0154,10
HNSC,Coxnnet,0.6084,0.0376,10
HNSC,CoxMLP,0.6048,0.0402,10
HNSC,VAECox,0.6143,0.023,10
KIRC,CoxLasso,0.7316,0.037,10
KIRC,CoxRidge,0.7274,0.0406,10
KIRC,Coxnnet,0.7531,0.0354,10
KIRC,CoxMLP,0.7308,0.035,10
KIRC,VAECox,0.7273,0.0289,10
LGG,CoxLasso,0.8152,0.0544,10
LGG,CoxRidge,0.8097,0.0611,10
LGG,Coxnnet,0.7957,0.0452,10
LGG,CoxMLP,0.815,0.0531,10
LGG,VAECox,0.8216,0.0429,10
LIHC,CoxLasso,0.7034,0.043,10
LIHC,CoxRidge,0.6969,0.0529,10
LIHC,Coxnnet,0.7206,0.0357,10
LIHC,CoxMLP,0.688,0.056,10
LIHC,VAECox,0.7267,0.0361,10
LUAD,CoxLasso,0.6078,0.0314,10
LUAD,CoxRidge,0.6079,0.0326,10
LUAD,Coxnnet,0.6268,0.0312,10
LUAD,CoxMLP,0.643,0.0494,10
LUAD,VAECox,0.6436,0.0357,10
LUSC,CoxLasso,0.5009,0.0351,10
LUSC,CoxRidge,0.5026,0.0301,10
LUSC,Coxnnet,0.4756,0.0263,10
LUSC,CoxMLP,0.5099,0.0284,10
LUSC,VAECox,0.487,0.024,10
OV,CoxLasso,0.5897,0.0314,10
OV,CoxRidge,0.5803,0.0354,10
OV,Coxnnet,0.5847,0.033,10
OV,CoxMLP,0.5734,0.0292,10
OV,VAECox,0.5948,0.0473,10
STAD,CoxLasso,0.515,0.0609,10
STAD,CoxRidge,0.5111,0.0601,10
STAD,Coxnnet,0.5296,0.0795,10
STAD,CoxMLP,0.5158,0.0604,10
STAD,VAECox,0.5158,0.0694,10
