cancer,model,n_patients,n_events,event_rate,mean_cindex
BLCA,CoxLasso,403,177,0.4392,0.6276
BLCA,CoxRidge,403,177,0.4392,0.6297
BLCA,Coxnnet,403,177,0.4392,0.6496
BLCA,CoxMLP,403,177,0.4392,0.6508
BLCA,VAECox,403,177,0.4392,0.6547
BRCA,CoxLasso,1080,151,0.1398,0.6998
BRCA,CoxRidge,1080,151,0.1398,0.6894
BRCA,Coxnnet,1080,151,0.1398,0.7143
BRCA,CoxMLP,1080,151,0.1398,0.6789
BRCA,VAECox,1080,151,0.1398,0.6932
HNSC,CoxLasso,517,220,0.4255,0.639
HNSC,CoxRidge,517,220,0.4255,0.6228
HNSC,Coxnnet,517,220,0.4255,0.6084
HNSC,CoxMLP,517,220,0.4255,0.6048
HNSC,VAECox,517,220,0.4255,0.6143
KIRC,CoxLasso,531,175,0.3296,0.7316
KIRC,CoxRidge,531,175,0.3296,0.7274
KIRC,Coxnnet,531,175,0.3296,0.7531
KIRC,CoxMLP,531,175,0.3296,0.7308
KIRC,VAECox,531,175,0.3296,0.7273
LGG,CoxLasso,511,125,0.2446,0.8152
LGG,CoxRidge,511,125,0.2446,0.8097
LGG,Coxnnet,511,125,0.2446,0.7957
LGG,CoxMLP,511,125,0.2446,0.815
LGG,VAECox,511,125,0.2446,0.8216
LIHC,CoxLasso,365,130,0.3562,0.7034
LIHC,CoxRidge,365,130,0.3562,0.6969
LIHC,Coxnnet,365,130,0.3562,0.7206
LIHC,CoxMLP,365,130,0.3562,0.688
LIHC,VAECox,365,130,0.3562,0.7267
LUAD,CoxLasso,502,182,0.3625,0.6078
LUAD,CoxRidge,502,182,0.3625,0.6079
LUAD,Coxnnet,502,182,0.3625,0.6268
LUAD,CoxMLP,502,182,0.3625,0.643
LUAD,VAECox,502,182,0.3625,0.6436
LUSC,CoxLasso,494,212,0.4291,0.5009
LUSC,CoxRidge,494,212,0.4291,0.5026
LUSC,Coxnnet,494,212,0.4291,0.4756
LUSC,CoxMLP,494,212,0.4291,0.5099
LUSC,VAECox,494,212,0.4291,0.487
OV,CoxLasso,303,182,0.6007,0.5897
OV,CoxRidge,303,182,0.6007,0.5803
OV,Coxnnet,303,182,0.6007,0.5847
OV,CoxMLP,303,182,0.6007,0.5734
OV,VAECox,303,182,0.6007,0.5948
STAD,CoxLasso,388,156,0.4021,0.515
STAD,CoxRidge,388,156,0.4021,0.5111
STAD,Coxnnet,388,156,0.4021,0.5296
STAD,CoxMLP,388,156,0.4021,0.5158
STAD,VAECox,388,156,0.4021,0.5158
