k_genes,model,mean_cindex,std_cindex,n_fits,vae_params,vae_pretrain_sec,survival_fit_sec,device
100,CoxRidge,0.5289,0.0538,15,152740,10.2,7.4,cuda
100,VAECox,0.5963,0.0708,15,152740,10.2,7.4,cuda
500,CoxRidge,0.5438,0.0606,15,562740,11.9,7.5,cuda
500,VAECox,0.5953,0.0515,15,562740,11.9,7.5,cuda
1000,CoxRidge,0.5503,0.0512,15,1075240,17.9,7.5,cuda
1000,VAECox,0.6122,0.0584,15,1075240,17.9,7.5,cuda
5000,CoxRidge,0.5975,0.0547,15,5175240,58.8,10.0,cuda
5000,VAECox,0.6343,0.0472,15,5175240,58.8,10.0,cuda
20530,CoxRidge,0.6239,0.0505,15,21093490,242.6,28.3,cuda
20530,VAECox,0.6383,0.053,15,21093490,242.6,28.3,cuda
1000,VAECox (CPU-only),0.626,0.0429,3,1075240,11.4,2.1,cpu
