config,hidden,latent,n_params,train_sec,cancer,cindex,n_events,n_patients
h4096_l128,4096,128,169783602,565.8,BLCA,0.6186,177,403
h4096_l128,4096,128,169783602,565.8,BRCA,0.7015,151,1080
h4096_l128,4096,128,169783602,565.8,HNSC,0.5849,220,517
h4096_l128,4096,128,169783602,565.8,KIRC,0.7236,175,531
h4096_l128,4096,128,169783602,565.8,LGG,0.8288,125,511
h4096_l128,4096,128,169783602,565.8,LIHC,0.6994,130,365
h4096_l128,4096,128,169783602,565.8,LUAD,0.617,182,502
h4096_l128,4096,128,169783602,565.8,LUSC,0.4915,212,494
h4096_l128,4096,128,169783602,565.8,OV,0.6043,182,303
h4096_l128,4096,128,169783602,565.8,STAD,0.4865,156,388
h1024_l64,1024,64,42264754,240.1,BLCA,0.6363,177,403
h1024_l64,1024,64,42264754,240.1,BRCA,0.6734,151,1080
h1024_l64,1024,64,42264754,240.1,HNSC,0.5933,220,517
h1024_l64,1024,64,42264754,240.1,KIRC,0.7175,175,531
h1024_l64,1024,64,42264754,240.1,LGG,0.807,125,511
h1024_l64,1024,64,42264754,240.1,LIHC,0.6995,130,365
h1024_l64,1024,64,42264754,240.1,LUAD,0.6251,182,502
h1024_l64,1024,64,42264754,240.1,LUSC,0.5134,212,494
h1024_l64,1024,64,42264754,240.1,OV,0.5765,182,303
h1024_l64,1024,64,42264754,240.1,STAD,0.5399,156,388
h512_l32,512,32,21093490,245.5,BLCA,0.6205,177,403
h512_l32,512,32,21093490,245.5,BRCA,0.6627,151,1080
h512_l32,512,32,21093490,245.5,HNSC,0.6008,220,517
h512_l32,512,32,21093490,245.5,KIRC,0.7078,175,531
h512_l32,512,32,21093490,245.5,LGG,0.809,125,511
h512_l32,512,32,21093490,245.5,LIHC,0.6931,130,365
h512_l32,512,32,21093490,245.5,LUAD,0.6202,182,502
h512_l32,512,32,21093490,245.5,LUSC,0.5211,212,494
h512_l32,512,32,21093490,245.5,OV,0.5844,182,303
h512_l32,512,32,21093490,245.5,STAD,0.5381,156,388
h256_l16,256,16,10544722,242.7,BLCA,0.635,177,403
h256_l16,256,16,10544722,242.7,BRCA,0.6416,151,1080
h256_l16,256,16,10544722,242.7,HNSC,0.6055,220,517
h256_l16,256,16,10544722,242.7,KIRC,0.7044,175,531
h256_l16,256,16,10544722,242.7,LGG,0.8248,125,511
h256_l16,256,16,10544722,242.7,LIHC,0.6963,130,365
h256_l16,256,16,10544722,242.7,LUAD,0.6167,182,502
h256_l16,256,16,10544722,242.7,LUSC,0.5254,212,494
h256_l16,256,16,10544722,242.7,OV,0.5511,182,303
h256_l16,256,16,10544722,242.7,STAD,0.5578,156,388
