config,hidden,latent,n_params,train_sec,cancer,cindex,n_events,n_patients,delta_vs_full
h1024_l64,1024,64,42264754,240.1,BLCA,0.6363,177,403,0.0177
h1024_l64,1024,64,42264754,240.1,BRCA,0.6734,151,1080,-0.0281
h1024_l64,1024,64,42264754,240.1,HNSC,0.5933,220,517,0.0084
h1024_l64,1024,64,42264754,240.1,KIRC,0.7175,175,531,-0.0061
h1024_l64,1024,64,42264754,240.1,LGG,0.807,125,511,-0.0218
h1024_l64,1024,64,42264754,240.1,LIHC,0.6995,130,365,0.0001
h1024_l64,1024,64,42264754,240.1,LUAD,0.6251,182,502,0.0081
h1024_l64,1024,64,42264754,240.1,LUSC,0.5134,212,494,0.0219
h1024_l64,1024,64,42264754,240.1,OV,0.5765,182,303,-0.0278
h1024_l64,1024,64,42264754,240.1,STAD,0.5399,156,388,0.0534
h512_l32,512,32,21093490,245.5,BLCA,0.6205,177,403,0.0019
h512_l32,512,32,21093490,245.5,BRCA,0.6627,151,1080,-0.0388
h512_l32,512,32,21093490,245.5,HNSC,0.6008,220,517,0.0159
h512_l32,512,32,21093490,245.5,KIRC,0.7078,175,531,-0.0158
h512_l32,512,32,21093490,245.5,LGG,0.809,125,511,-0.0198
h512_l32,512,32,21093490,245.5,LIHC,0.6931,130,365,-0.0063
h512_l32,512,32,21093490,245.5,LUAD,0.6202,182,502,0.0032
h512_l32,512,32,21093490,245.5,LUSC,0.5211,212,494,0.0296
h512_l32,512,32,21093490,245.5,OV,0.5844,182,303,-0.0199
h512_l32,512,32,21093490,245.5,STAD,0.5381,156,388,0.0516
h256_l16,256,16,10544722,242.7,BLCA,0.635,177,403,0.0164
h256_l16,256,16,10544722,242.7,BRCA,0.6416,151,1080,-0.0599
h256_l16,256,16,10544722,242.7,HNSC,0.6055,220,517,0.0206
h256_l16,256,16,10544722,242.7,KIRC,0.7044,175,531,-0.0192
h256_l16,256,16,10544722,242.7,LGG,0.8248,125,511,-0.004
h256_l16,256,16,10544722,242.7,LIHC,0.6963,130,365,-0.0031
h256_l16,256,16,10544722,242.7,LUAD,0.6167,182,502,-0.0003
h256_l16,256,16,10544722,242.7,LUSC,0.5254,212,494,0.0339
h256_l16,256,16,10544722,242.7,OV,0.5511,182,303,-0.0532
h256_l16,256,16,10544722,242.7,STAD,0.5578,156,388,0.0713
