cancer,model,rank,gene,base_cindex,mean_drop,std_drop
BLCA,CoxRidge,1,ACCN3,0.5891,0.00095,0.00122
BLCA,CoxRidge,2,NOL6,0.5891,0.00072,0.0
BLCA,CoxRidge,3,SNAPC4,0.5891,0.00072,0.0
BLCA,CoxRidge,4,DLG5,0.5891,0.00072,0.0
BLCA,CoxRidge,5,TUBA1B,0.5891,0.00072,0.0
BLCA,CoxRidge,6,FNDC3B,0.5891,0.00072,0.0
BLCA,CoxRidge,7,IGFL4,0.5891,0.00072,0.0
BLCA,CoxRidge,8,USP33,0.5891,0.00072,0.0
BLCA,CoxRidge,9,DNAH1,0.5891,0.00072,0.00101
BLCA,CoxRidge,10,ABCC12,0.5891,0.00072,0.0
BLCA,CoxRidge,11,DKFZP586I1420,0.5891,0.00072,0.0
BLCA,CoxRidge,12,?|26823,0.5891,0.00072,0.0
BLCA,CoxRidge,13,TRIM9,0.5891,0.00072,0.0
BLCA,CoxRidge,14,SPRR2F,0.5891,0.00072,0.0
BLCA,CoxRidge,15,C2orf84,0.5891,0.00072,0.0
BLCA,CoxRidge,16,BUB3,0.5891,0.00072,0.0
BLCA,CoxRidge,17,OFD1,0.5891,0.00072,0.0
BLCA,CoxRidge,18,TRIM40,0.5891,0.00072,0.0
BLCA,CoxRidge,19,ZFP161,0.5891,0.00072,0.0
BLCA,CoxRidge,20,FAM200B,0.5891,0.00048,0.00034
BLCA,CoxRidge,21,WFS1,0.5891,0.00048,0.00034
BLCA,CoxRidge,22,ARRB2,0.5891,0.00048,0.00034
BLCA,CoxRidge,23,MCCD1,0.5891,0.00048,0.00034
BLCA,CoxRidge,24,MORF4L2,0.5891,0.00048,0.00034
BLCA,CoxRidge,25,SPG20,0.5891,0.00048,0.00034
BLCA,VAECox,1,TRIM9,0.607,0.00095,0.00034
BLCA,VAECox,2,DGCR5,0.607,0.00072,0.00101
BLCA,VAECox,3,IGFL4,0.607,0.00072,0.0
BLCA,VAECox,4,ZNF323,0.607,0.00072,0.0
BLCA,VAECox,5,VIPAR,0.607,0.00072,0.0
BLCA,VAECox,6,PCDHGA4,0.607,0.00048,0.00034
BLCA,VAECox,7,FAM133B,0.607,0.00048,0.00034
BLCA,VAECox,8,EDA,0.607,0.00048,0.00034
