cancer,experiment,level,CoxRidge,VAECox
BLCA,missing,0%,0.6088,0.6139
BLCA,missing,10%,0.6103,0.6143
BLCA,missing,25%,0.6083,0.6168
BLCA,missing,50%,0.5892,0.6105
BLCA,noise,sigma=0.0,0.6088,0.6139
BLCA,noise,sigma=0.5,0.6062,0.6121
BLCA,noise,sigma=1.0,0.5748,0.6127
BLCA,noise,sigma=2.0,0.5781,0.6158
BRCA,missing,0%,0.6303,0.6921
BRCA,missing,10%,0.6294,0.6917
BRCA,missing,25%,0.6364,0.697
BRCA,missing,50%,0.6031,0.6841
BRCA,noise,sigma=0.0,0.6303,0.6921
BRCA,noise,sigma=0.5,0.6203,0.693
BRCA,noise,sigma=1.0,0.6068,0.7032
BRCA,noise,sigma=2.0,0.5951,0.6833
HNSC,missing,0%,0.6324,0.5811
HNSC,missing,10%,0.6241,0.5846
HNSC,missing,25%,0.6361,0.5816
HNSC,missing,50%,0.5828,0.5878
HNSC,noise,sigma=0.0,0.6324,0.5811
HNSC,noise,sigma=0.5,0.6148,0.5767
HNSC,noise,sigma=1.0,0.6033,0.5797
HNSC,noise,sigma=2.0,0.5936,0.5785
KIRC,missing,0%,0.6996,0.7203
KIRC,missing,10%,0.6923,0.7179
KIRC,missing,25%,0.6912,0.72
KIRC,missing,50%,0.6478,0.7169
KIRC,noise,sigma=0.0,0.6996,0.7203
KIRC,noise,sigma=0.5,0.6903,0.7198
KIRC,noise,sigma=1.0,0.6726,0.7195
KIRC,noise,sigma=2.0,0.6442,0.7187
LGG,missing,0%,0.8249,0.8108
LGG,missing,10%,0.8169,0.8099
LGG,missing,25%,0.8274,0.8089
LGG,missing,50%,0.7886,0.8069
LGG,noise,sigma=0.0,0.8249,0.8108
LGG,noise,sigma=0.5,0.8212,0.8103
LGG,noise,sigma=1.0,0.8036,0.8057
LGG,noise,sigma=2.0,0.7137,0.8045
LIHC,missing,0%,0.7077,0.7127
LIHC,missing,10%,0.7016,0.7086
LIHC,missing,25%,0.6976,0.7041
LIHC,missing,50%,0.6298,0.7125
LIHC,noise,sigma=0.0,0.7077,0.7127
LIHC,noise,sigma=0.5,0.7015,0.7078
LIHC,noise,sigma=1.0,0.6371,0.7123
LIHC,noise,sigma=2.0,0.6424,0.7094
LUAD,missing,0%,0.6248,0.6177
LUAD,missing,10%,0.6186,0.6159
LUAD,missing,25%,0.6181,0.6162
LUAD,missing,50%,0.6176,0.6132
LUAD,noise,sigma=0.0,0.6248,0.6177
LUAD,noise,sigma=0.5,0.6268,0.6157
LUAD,noise,sigma=1.0,0.6114,0.614
LUAD,noise,sigma=2.0,0.5671,0.6017
LUSC,missing,0%,0.5108,0.4834
LUSC,missing,10%,0.499,0.4854
LUSC,missing,25%,0.5059,0.4813
LUSC,missing,50%,0.4826,0.4809
LUSC,noise,sigma=0.0,0.5108,0.4834
LUSC,noise,sigma=0.5,0.4982,0.4829
LUSC,noise,sigma=1.0,0.5111,0.4823
LUSC,noise,sigma=2.0,0.5049,0.5052
OV,missing,0%,0.5774,0.5891
OV,missing,10%,0.576,0.5883
OV,missing,25%,0.5642,0.5887
OV,missing,50%,0.5895,0.5945
OV,noise,sigma=0.0,0.5774,0.5891
OV,noise,sigma=0.5,0.571,0.5846
OV,noise,sigma=1.0,0.5559,0.5858
OV,noise,sigma=2.0,0.555,0.5762
STAD,missing,0%,0.5005,0.4904
STAD,missing,10%,0.5086,0.4914
STAD,missing,25%,0.5071,0.4881
STAD,missing,50%,0.5062,0.4948
STAD,noise,sigma=0.0,0.5005,0.4904
STAD,noise,sigma=0.5,0.48,0.4897
STAD,noise,sigma=1.0,0.5085,0.4873
STAD,noise,sigma=2.0,0.494,0.482
