cancer,model,variable,group,n_seeds,mean_n,mean_cindex,std_cindex
BLCA,CoxRidge,age_group,>65,10,49,0.6012,0.0493
BLCA,CoxRidge,age_group,51-65,10,25,0.5592,0.0918
BLCA,CoxRidge,sex,MALE,10,59,0.582,0.0422
BLCA,CoxRidge,sex,FEMALE,10,22,0.6692,0.1347
BLCA,CoxRidge,stage,Late (III-IV),10,55,0.6067,0.0464
BLCA,CoxRidge,stage,Early (I-II),9,25,0.5602,0.1057
BLCA,CoxRidge,subtype,Muscle invasive urothelial carcinoma (pT2 or above),10,80,0.6079,0.0431
BLCA,VAECox,age_group,>65,10,49,0.6,0.0521
BLCA,VAECox,age_group,51-65,10,25,0.6146,0.0673
BLCA,VAECox,sex,MALE,10,59,0.599,0.0505
BLCA,VAECox,sex,FEMALE,10,22,0.6494,0.1137
BLCA,VAECox,stage,Late (III-IV),10,55,0.6176,0.0352
BLCA,VAECox,stage,Early (I-II),9,25,0.5527,0.0766
BLCA,VAECox,subtype,Muscle invasive urothelial carcinoma (pT2 or above),10,80,0.6174,0.0455
BRCA,CoxRidge,age_group,51-65,10,87,0.6647,0.1317
BRCA,CoxRidge,age_group,<=50,10,64,0.7378,0.085
BRCA,CoxRidge,age_group,>65,10,63,0.6196,0.0925
BRCA,CoxRidge,sex,FEMALE,10,213,0.6775,0.0668
BRCA,CoxRidge,stage,Early (I-II),10,162,0.6511,0.0778
BRCA,CoxRidge,stage,Late (III-IV),10,49,0.6438,0.1647
BRCA,CoxRidge,subtype,Infiltrating Ductal Carcinoma,10,156,0.6988,0.0688
BRCA,CoxRidge,subtype,Infiltrating Lobular Carcinoma,8,38,0.663,0.142
BRCA,CoxRidge,subtype,"Other, specify",2,11,0.2753,0.0025
BRCA,CoxRidge,subtype,Mixed Histology (please specify),1,10,0.75,0.0
BRCA,VAECox,age_group,51-65,10,87,0.6495,0.0975
BRCA,VAECox,age_group,<=50,10,64,0.759,0.0718
BRCA,VAECox,age_group,>65,10,63,0.6325,0.083
BRCA,VAECox,sex,FEMALE,10,213,0.6819,0.0378
BRCA,VAECox,stage,Early (I-II),10,162,0.6413,0.0639
BRCA,VAECox,stage,Late (III-IV),10,49,0.6871,0.0694
BRCA,VAECox,subtype,Infiltrating Ductal Carcinoma,10,156,0.6822,0.0472
BRCA,VAECox,subtype,Infiltrating Lobular Carcinoma,8,38,0.6583,0.1206
BRCA,VAECox,subtype,"Other, specify",2,11,0.7803,0.053
BRCA,VAECox,subtype,Mixed Histology (please specify),1,10,0.875,0.0
HNSC,CoxRidge,age_group,<=50,10,18,0.6542,0.1184
HNSC,CoxRidge,age_group,>65,10,37,0.6084,0.0719
HNSC,CoxRidge,age_group,51-65,10,48,0.6327,0.0631
HNSC,CoxRidge,sex,MALE,10,76,0.6321,0.0267
HNSC,CoxRidge,sex,FEMALE,10,27,0.5523,0.0884
HNSC,CoxRidge,stage,Late (III-IV),10,71,0.6291,0.0333
HNSC,CoxRidge,stage,Early (I-II),10,18,0.5982,0.1105
HNSC,CoxRidge,subtype,Head & Neck Squamous Cell Carcinoma,10,101,0.62,0.014
HNSC,VAECox,age_group,<=50,10,18,0.6344,0.1777
HNSC,VAECox,age_group,>65,10,37,0.5899,0.0723
HNSC,VAECox,age_group,51-65,10,48,0.571,0.0557
HNSC,VAECox,sex,MALE,10,76,0.6122,0.05
HNSC,VAECox,sex,FEMALE,10,27,0.4789,0.1091
HNSC,VAECox,stage,Late (III-IV),10,71,0.5799,0.0543
HNSC,VAECox,stage,Early (I-II),10,18,0.5993,0.1147
HNSC,VAECox,subtype,Head & Neck Squamous Cell Carcinoma,10,101,0.5853,0.0393
KIRC,CoxRidge,age_group,51-65,10,47,0.7091,0.0559
KIRC,CoxRidge,age_group,>65,10,36,0.6394,0.0755
KIRC,CoxRidge,age_group,<=50,8,23,0.8098,0.0859
KIRC,CoxRidge,sex,MALE,10,68,0.71,0.0495
KIRC,CoxRidge,sex,FEMALE,10,38,0.692,0.1037
KIRC,CoxRidge,stage,Early (I-II),10,66,0.5681,0.1015
KIRC,CoxRidge,stage,Late (III-IV),10,39,0.6635,0.052
KIRC,CoxRidge,subtype,Kidney Clear Cell Renal Carcinoma,10,107,0.7026,0.0469
KIRC,VAECox,age_group,51-65,10,47,0.7217,0.0381
KIRC,VAECox,age_group,>65,10,36,0.676,0.0661
KIRC,VAECox,age_group,<=50,8,23,0.8581,0.0743
KIRC,VAECox,sex,MALE,10,68,0.7355,0.0299
KIRC,VAECox,sex,FEMALE,10,38,0.7208,0.0774
KIRC,VAECox,stage,Early (I-II),10,66,0.6492,0.0527
KIRC,VAECox,stage,Late (III-IV),10,39,0.6982,0.0394
KIRC,VAECox,subtype,Kidney Clear Cell Renal Carcinoma,10,107,0.7273,0.0289
LGG,CoxRidge,age_group,51-65,10,24,0.764,0.0734
LGG,CoxRidge,age_group,<=50,10,72,0.814,0.0557
LGG,CoxRidge,sex,FEMALE,10,45,0.7647,0.0896
LGG,CoxRidge,sex,MALE,10,57,0.8579,0.0504
LGG,CoxRidge,subtype,Astrocytoma,10,40,0.8395,0.0713
