cancer,model,variable,best_group,best_cindex,worst_group,worst_cindex,gap,n_groups
STAD,CoxRidge,age_group,>65,0.5578,<=50,0.3158,0.242,3
OV,VAECox,age_group,<=50,0.7061,51-65,0.5149,0.1912,3
KIRC,VAECox,age_group,<=50,0.8581,>65,0.676,0.1821,3
LUAD,VAECox,age_group,51-65,0.6299,<=50,0.4534,0.1765,3
KIRC,CoxRidge,age_group,<=50,0.8098,>65,0.6394,0.1704,3
STAD,VAECox,subtype,"Stomach, Adenocarcinoma, Diffuse Type",0.6282,"Stomach, Adenocarcinoma, Not Otherwise Specified (NOS)",0.4741,0.1541,4
OV,CoxRidge,age_group,<=50,0.6639,51-65,0.5269,0.137,3
HNSC,VAECox,sex,MALE,0.6122,FEMALE,0.4789,0.1333,2
BRCA,VAECox,age_group,<=50,0.759,>65,0.6325,0.1265,3
LUAD,CoxRidge,age_group,51-65,0.6153,<=50,0.4962,0.1191,3
BRCA,CoxRidge,age_group,<=50,0.7378,>65,0.6196,0.1182,3
STAD,VAECox,age_group,<=50,0.5789,51-65,0.4638,0.1151,3
STAD,CoxRidge,subtype,"Stomach, Adenocarcinoma, Diffuse Type",0.5617,"Stomach, Intestinal Adenocarcinoma, Tubular Type",0.4596,0.1021,4
KIRC,CoxRidge,stage,Late (III-IV),0.6635,Early (I-II),0.5681,0.0954,2
LGG,CoxRidge,sex,MALE,0.8579,FEMALE,0.7647,0.0932,2
LIHC,CoxRidge,sex,MALE,0.7188,FEMALE,0.6269,0.0919,2
BLCA,CoxRidge,sex,FEMALE,0.6692,MALE,0.582,0.0872,2
LGG,CoxRidge,subtype,Astrocytoma,0.8395,Oligoastrocytoma,0.7529,0.0866,3
HNSC,CoxRidge,sex,MALE,0.6321,FEMALE,0.5523,0.0798,2
LIHC,VAECox,sex,MALE,0.7477,FEMALE,0.6713,0.0764,2
STAD,CoxRidge,stage,Early (I-II),0.5556,Late (III-IV),0.4856,0.07,2
BLCA,VAECox,stage,Late (III-IV),0.6176,Early (I-II),0.5527,0.0649,2
HNSC,VAECox,age_group,<=50,0.6344,51-65,0.571,0.0634,3
LGG,VAECox,sex,MALE,0.8244,FEMALE,0.7637,0.0607,2
LGG,VAECox,age_group,<=50,0.8117,51-65,0.7538,0.0579,2
LUAD,VAECox,subtype,Lung Adenocarcinoma Mixed Subtype,0.6653,Lung Adenocarcinoma- Not Otherwise Specified (NOS),0.6148,0.0505,2
BLCA,VAECox,sex,FEMALE,0.6494,MALE,0.599,0.0504,2
LGG,CoxRidge,age_group,<=50,0.814,51-65,0.764,0.05,2
KIRC,VAECox,stage,Late (III-IV),0.6982,Early (I-II),0.6492,0.049,2
BLCA,CoxRidge,stage,Late (III-IV),0.6067,Early (I-II),0.5602,0.0465,2
BRCA,VAECox,stage,Late (III-IV),0.6871,Early (I-II),0.6413,0.0458,2
HNSC,CoxRidge,age_group,<=50,0.6542,>65,0.6084,0.0458,3
STAD,CoxRidge,sex,FEMALE,0.5465,MALE,0.5015,0.045,2
LGG,VAECox,subtype,Astrocytoma,0.8037,Oligoastrocytoma,0.7607,0.043,3
BLCA,CoxRidge,age_group,>65,0.6012,51-65,0.5592,0.042,2
LIHC,VAECox,age_group,<=50,0.7377,51-65,0.6965,0.0412,3
STAD,VAECox,sex,FEMALE,0.5407,MALE,0.5002,0.0405,2
LUSC,CoxRidge,age_group,>65,0.514,51-65,0.4753,0.0387,2
LIHC,CoxRidge,age_group,>65,0.7104,51-65,0.674,0.0364,3
BRCA,CoxRidge,subtype,Infiltrating Ductal Carcinoma,0.6988,Infiltrating Lobular Carcinoma,0.663,0.0358,2
HNSC,CoxRidge,stage,Late (III-IV),0.6291,Early (I-II),0.5982,0.0309,2
LUSC,VAECox,sex,FEMALE,0.5076,MALE,0.4774,0.0302,2
LUAD,CoxRidge,subtype,Lung Adenocarcinoma Mixed Subtype,0.6409,Lung Adenocarcinoma- Not Otherwise Specified (NOS),0.6123,0.0286,2
LUAD,CoxRidge,stage,Late (III-IV),0.6092,Early (I-II),0.5812,0.028,2
BRCA,VAECox,subtype,Infiltrating Ductal Carcinoma,0.6822,Infiltrating Lobular Carcinoma,0.6583,0.0239,2
LUSC,CoxRidge,sex,MALE,0.5068,FEMALE,0.4873,0.0195,2
LUSC,VAECox,age_group,51-65,0.5084,>65,0.4889,0.0195,2
HNSC,VAECox,stage,Early (I-II),0.5993,Late (III-IV),0.5799,0.0194,2
KIRC,CoxRidge,sex,MALE,0.71,FEMALE,0.692,0.018,2
LUAD,VAECox,sex,FEMALE,0.6218,MALE,0.6061,0.0157,2
KIRC,VAECox,sex,MALE,0.7355,FEMALE,0.7208,0.0147,2
BLCA,VAECox,age_group,51-65,0.6146,>65,0.6,0.0146,2
LIHC,CoxRidge,stage,Late (III-IV),0.6765,Early (I-II),0.6648,0.0117,2
STAD,VAECox,stage,Early (I-II),0.5215,Late (III-IV),0.5113,0.0102,2
LIHC,VAECox,stage,Early (I-II),0.6962,Late (III-IV),0.6882,0.008,2
LUSC,VAECox,stage,Late (III-IV),0.4959,Early (I-II),0.4882,0.0077,2
BRCA,CoxRidge,stage,Early (I-II),0.6511,Late (III-IV),0.6438,0.0073,2
LUAD,CoxRidge,sex,MALE,0.6024,FEMALE,0.5976,0.0048,2
LUAD,VAECox,stage,Late (III-IV),0.6111,Early (I-II),0.6068,0.0043,2
LUSC,CoxRidge,stage,Late (III-IV),0.5087,Early (I-II),0.5071,0.0016,2
